Client ID,Location,Month,Quarter,Year,Category,Distributor,Min Monthly Sales,Total Sales,Compliance,Total Points,Points Worth ($)
2,"Tlalnepantla, Ciudad de Mexico",1,1,2018,C4,D5,59000,51951,0.88,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",2,1,2018,C4,D5,59000,15301,0.26,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",5,2,2018,C4,D5,59000,19807,0.34,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",6,2,2018,C4,D5,59000,16916,0.29,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",8,3,2018,C4,D5,59000,88353,1.5,1080,928.8
2,"Tlalnepantla, Ciudad de Mexico",9,3,2018,C4,D5,59000,35235,0.6,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",10,4,2018,C4,D5,59000,26976,0.46,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",11,4,2018,C4,D5,59000,51852,0.88,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",12,4,2018,C4,D5,59000,22908,0.39,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",1,1,2019,C4,D5,59000,32473,0.55,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",2,1,2019,C4,D5,59000,44048,0.75,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",3,1,2019,C4,D5,59000,13967,0.24,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",4,2,2019,C4,D5,59000,85967,1.46,632,543.52
2,"Tlalnepantla, Ciudad de Mexico",5,2,2019,C4,D5,59000,11184,0.19,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",6,2,2019,C4,D5,59000,59930,1.02,573,492.78
2,"Tlalnepantla, Ciudad de Mexico",7,3,2019,C4,D5,59000,37474,0.64,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",8,3,2019,C4,D5,59000,41179,0.7,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",9,3,2019,C4,D5,59000,13541,0.23,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",10,4,2019,C3,D5,41000,13733,0.33,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",11,4,2019,C3,D5,41000,47107,1.15,525,451.5
2,"Tlalnepantla, Ciudad de Mexico",12,4,2019,C3,D5,41000,21274,0.52,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",1,1,2020,C3,D5,41000,27965,0.68,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",2,1,2020,C3,D5,41000,11331,0.28,0,0.0
2,"Tlalnepantla, Ciudad de Mexico",3,1,2020,C3,D5,41000,10740,0.26,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",1,1,2018,C2,D13,23000,11837,0.51,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",2,1,2018,C2,D13,23000,1702,0.07,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",3,1,2018,C2,D13,23000,12407,0.54,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",4,2,2018,C2,D13,23000,24841,1.08,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",5,2,2018,C2,D13,23000,13277,0.58,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",6,2,2018,C2,D13,23000,6244,0.27,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",7,3,2018,C2,D13,23000,6630,0.29,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",8,3,2018,C2,D13,23000,5065,0.22,0,0.0
4,"Tlalnepantla, Ciudad de Mexico",9,3,2018,C2,D13,23000,4687,0.2,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",1,1,2018,C4,D12,59000,76671,1.3,804,691.4399999999999
10,"Tlalnepantla, Ciudad de Mexico",2,1,2018,C4,D12,59000,72452,1.23,910,782.6
10,"Tlalnepantla, Ciudad de Mexico",3,1,2018,C4,D12,59000,70312,1.19,10828,9312.08
10,"Tlalnepantla, Ciudad de Mexico",4,2,2018,C4,D12,59000,63434,1.08,534,459.24
10,"Tlalnepantla, Ciudad de Mexico",5,2,2018,C4,D12,59000,29142,0.49,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",6,2,2018,C4,D12,59000,141615,2.4,11807,10154.02
10,"Tlalnepantla, Ciudad de Mexico",7,3,2018,C4,D12,59000,23602,0.4,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",8,3,2018,C4,D12,59000,40723,0.69,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",9,3,2018,C4,D12,59000,58287,0.99,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",10,4,2018,C4,D12,59000,43656,0.74,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",11,4,2018,C4,D12,59000,152503,2.58,2261,1944.46
10,"Tlalnepantla, Ciudad de Mexico",12,4,2018,C4,D12,59000,113993,1.93,11266,9688.76
10,"Tlalnepantla, Ciudad de Mexico",1,1,2019,C4,D12,59000,143904,2.44,1736,1492.96
10,"Tlalnepantla, Ciudad de Mexico",2,1,2019,C4,D12,59000,24324,0.41,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",3,1,2019,C4,D12,59000,83438,1.41,10786,9275.96
10,"Tlalnepantla, Ciudad de Mexico",4,2,2019,C4,D12,59000,15115,0.26,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",5,2,2019,C4,D12,59000,26997,0.46,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",6,2,2019,C4,D12,59000,63433,1.08,466,400.76
10,"Tlalnepantla, Ciudad de Mexico",7,3,2019,C4,D12,59000,128050,2.17,787,676.8199999999999
10,"Tlalnepantla, Ciudad de Mexico",8,3,2019,C4,D12,59000,42079,0.71,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",9,3,2019,C4,D12,59000,38976,0.66,10200,8772.0
10,"Tlalnepantla, Ciudad de Mexico",10,4,2019,C4,D12,59000,151717,2.57,1567,1347.62
10,"Tlalnepantla, Ciudad de Mexico",11,4,2019,C4,D12,59000,122885,2.08,901,774.86
10,"Tlalnepantla, Ciudad de Mexico",12,4,2019,C4,D12,59000,168050,2.85,11283,9703.38
10,"Tlalnepantla, Ciudad de Mexico",1,1,2020,C4,D12,59000,80404,1.36,475,408.5
10,"Tlalnepantla, Ciudad de Mexico",2,1,2020,C4,D12,59000,108742,1.84,1141,981.26
10,"Tlalnepantla, Ciudad de Mexico",3,1,2020,C4,D12,59000,55390,0.94,10200,8772.0
10,"Tlalnepantla, Ciudad de Mexico",4,2,2020,C4,D12,59000,38162,0.65,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",5,2,2020,C4,D12,59000,34226,0.58,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",6,2,2020,C4,D12,59000,198152,3.36,12247,10532.42
10,"Tlalnepantla, Ciudad de Mexico",8,3,2020,C4,D12,59000,21294,0.36,0,0.0
10,"Tlalnepantla, Ciudad de Mexico",9,3,2020,C4,D12,59000,2496,0.04,0,0.0
12,"Villahermosa, Tabasco",1,1,2018,C6,D10,183000,369844,2.02,1354,1164.44
12,"Villahermosa, Tabasco",2,1,2018,C6,D10,183000,322736,1.76,1242,1068.12
12,"Villahermosa, Tabasco",3,1,2018,C6,D10,183000,362762,1.98,18261,15704.46
12,"Villahermosa, Tabasco",4,2,2018,C6,D10,183000,365826,2.0,1434,1233.24
12,"Villahermosa, Tabasco",5,2,2018,C6,D10,183000,309706,1.69,1345,1156.7
12,"Villahermosa, Tabasco",6,2,2018,C6,D10,183000,370303,2.02,18059,15530.74
12,"Villahermosa, Tabasco",7,3,2018,C6,D10,183000,435753,2.38,1691,1454.26
12,"Villahermosa, Tabasco",8,3,2018,C6,D10,183000,409722,2.24,1243,1068.98
12,"Villahermosa, Tabasco",9,3,2018,C6,D10,183000,296695,1.62,17894,15388.84
12,"Villahermosa, Tabasco",10,4,2018,C6,D10,183000,313768,1.71,1330,1143.8
12,"Villahermosa, Tabasco",11,4,2018,C6,D10,183000,375378,2.05,1341,1153.26
12,"Villahermosa, Tabasco",12,4,2018,C6,D10,183000,332889,1.82,17865,15363.9
12,"Villahermosa, Tabasco",1,1,2019,C6,D10,183000,411258,2.25,1315,1130.9
12,"Villahermosa, Tabasco",2,1,2019,C6,D10,183000,342478,1.87,1374,1181.6399999999999
12,"Villahermosa, Tabasco",3,1,2019,C6,D10,183000,399410,2.18,18123,15585.78
12,"Villahermosa, Tabasco",4,2,2019,C6,D10,183000,394742,2.16,1164,1001.04
12,"Villahermosa, Tabasco",5,2,2019,C6,D10,183000,391003,2.14,1315,1130.9
12,"Villahermosa, Tabasco",6,2,2019,C6,D10,183000,413231,2.26,18198,15650.28
12,"Villahermosa, Tabasco",7,3,2019,C6,D10,183000,477449,2.61,1326,1140.36
12,"Villahermosa, Tabasco",8,3,2019,C6,D10,183000,425450,2.32,1329,1142.94
12,"Villahermosa, Tabasco",9,3,2019,C6,D10,183000,300162,1.64,17821,15326.06
12,"Villahermosa, Tabasco",10,4,2019,C6,D10,183000,424720,2.32,1278,1099.08
12,"Villahermosa, Tabasco",11,4,2019,C6,D10,183000,456992,2.5,1141,981.26
12,"Villahermosa, Tabasco",12,4,2019,C6,D10,183000,543425,2.97,70766,60858.76
12,"Villahermosa, Tabasco",1,1,2020,C6,D10,183000,543425,2.97,1516,1303.76
12,"Villahermosa, Tabasco",2,1,2020,C6,D10,183000,470153,2.57,1516,1303.76
12,"Villahermosa, Tabasco",3,1,2020,C6,D10,183000,392375,2.14,18147,15606.42
12,"Villahermosa, Tabasco",4,2,2020,C6,D10,183000,213074,1.16,510,438.59999999999997
12,"Villahermosa, Tabasco",5,2,2020,C6,D10,183000,182801,1.0,0,0.0
12,"Villahermosa, Tabasco",6,2,2020,C6,D10,183000,226835,1.24,17640,15170.4
12,"Villahermosa, Tabasco",7,3,2020,C6,D10,183000,219575,1.2,671,577.06
12,"Villahermosa, Tabasco",8,3,2020,C6,D10,183000,269567,1.47,949,816.14
12,"Villahermosa, Tabasco",9,3,2020,C6,D10,183000,300657,1.64,17633,15164.38
12,"Villahermosa, Tabasco",10,4,2020,C6,D10,183000,300370,1.64,846,727.56
12,"Villahermosa, Tabasco",11,4,2020,C6,D10,183000,269570,1.47,579,497.94
12,"Villahermosa, Tabasco",12,4,2020,C6,D10,183000,314472,1.72,17551,15093.86
13,"Tuxtla Gutierrez, Chiapas",1,1,2018,C4,D13,59000,102713,1.74,441,379.26
13,"Tuxtla Gutierrez, Chiapas",2,1,2018,C4,D13,59000,55562,0.94,492,423.12
13,"Tuxtla Gutierrez, Chiapas",3,1,2018,C4,D13,59000,45427,0.77,10200,8772.0
13,"Tuxtla Gutierrez, Chiapas",4,2,2018,C4,D13,59000,53484,0.91,0,0.0
13,"Tuxtla Gutierrez, Chiapas",5,2,2018,C4,D13,59000,80543,1.37,553,475.58
13,"Tuxtla Gutierrez, Chiapas",6,2,2018,C4,D13,59000,62893,1.07,10597,9113.42
13,"Tuxtla Gutierrez, Chiapas",7,3,2018,C4,D13,59000,76376,1.29,503,432.58
13,"Tuxtla Gutierrez, Chiapas",8,3,2018,C4,D13,59000,18716,0.32,0,0.0
14,"Tuxtla Gutierrez, Chiapas",1,1,2018,C6,D5,183000,260878,1.43,733,630.38
14,"Tuxtla Gutierrez, Chiapas",2,1,2018,C6,D5,183000,226535,1.24,877,754.22
14,"Tuxtla Gutierrez, Chiapas",3,1,2018,C6,D5,183000,301987,1.65,18111,15575.46
14,"Tuxtla Gutierrez, Chiapas",4,2,2018,C6,D5,183000,253165,1.38,893,767.98
14,"Tuxtla Gutierrez, Chiapas",5,2,2018,C6,D5,183000,385816,2.11,1869,1607.34
14,"Tuxtla Gutierrez, Chiapas",6,2,2018,C6,D5,183000,305129,1.67,18049,15522.14
14,"Tuxtla Gutierrez, Chiapas",7,3,2018,C6,D5,183000,352588,1.93,2104,1809.44
14,"Tuxtla Gutierrez, Chiapas",8,3,2018,C6,D5,183000,358221,1.96,2360,2029.6
14,"Tuxtla Gutierrez, Chiapas",9,3,2018,C6,D5,183000,180096,0.98,16750,14405.0
14,"Tuxtla Gutierrez, Chiapas",10,4,2018,C6,D5,183000,211451,1.16,1063,914.18
14,"Tuxtla Gutierrez, Chiapas",11,4,2018,C6,D5,183000,267372,1.46,1737,1493.82
14,"Tuxtla Gutierrez, Chiapas",12,4,2018,C6,D5,183000,275731,1.51,18597,15993.42
14,"Tuxtla Gutierrez, Chiapas",1,1,2019,C6,D5,183000,352050,1.92,2054,1766.44
14,"Tuxtla Gutierrez, Chiapas",2,1,2019,C6,D5,183000,197355,1.08,832,715.52
14,"Tuxtla Gutierrez, Chiapas",3,1,2019,C6,D5,183000,279723,1.53,17588,15125.68
